Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
Intersect at O Apartments,Shaw,Rental,Sold Out,74  units,https://dc.urbanturf.com/pipeline/1072/Intersect_at_O_Apartments,,,                                  Rental apartments                              </p>,74.0,"                  Two-, three- and four-bedroom townhomes                </p>","                  2,600 to 3,249 square feet                </p>",,"                  $2,500 - $7,990                </p>",,,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1336 8th Street NW,  Washington, DC,  20001,  ",Sold Out,                    Q1 2023                  </p>,38.908286,-77.0231336
The Townhomes at Michigan Park,Michigan Park,Townhomes,Sold Out,80  units,https://dc.urbanturf.com/pipeline/600/The_Townhomes_at_Michigan_Park,,,                                  Townhomes                              </p>,80.0,"                  Two-, three- and four-bedroom townhomes                </p>",,                  2.5 acres communal green space                </p>,                  From the $800s                </p>,https://www.eya.com/townhomes/washington-dc/michigan-park?utm_campaign=MP%20Urbanturf&amp;utm_source=MP%20Urbanturf%20Sponsored%20Post&amp;utm_medium=MP%20Urbanturf%20Sponsored%20Post,KTGY Group  ,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  12th & Wynton Street NE,  Washington, DC,  20017,  ",Sold Out,,,
Vela,Navy Yard,Rental,"Delivered, Leasing Up",379  units,https://dc.urbanturf.com/pipeline/1110/Vela,,,                                  Rental apartments                              </p>,379.0,"                  Studio, one-bedroom, two-bedroom and three-bedroom apartments                </p>",,,,https://www.liveveladc.com/,Perkins Eastman  ,"                February 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  100 N St SE,  Washington, DC,  20024,  ","Delivered, Leasing Up","                    Fall 2023                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.8747189,-77.0069874
1805 Wisconsin Avenue NW,Georgetown,Townhomes,"Under Construction, Not Yet Selling",9  units,https://dc.urbanturf.com/pipeline/1027/1805_Wisconsin_Avenue_NW,,,                                  Townhomes                              </p>,9.0,                  TBD                </p>,,,,,Christian Zapatka  ,"                February 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1805 Wisconsin Avenue NW,  Washington, DC,  20007,  ","Under Construction, Not Yet Selling",,38.9149097,-77.0672013
1000 and 1050 Thomas Jefferson Street NW,Georgetown,Condo,Planned,335  units,https://dc.urbanturf.com/pipeline/1177/1000_and_1050_Thomas_Jefferson_Street_NW,,,                                  Condos                              </p>,335.0,                  TBD                </p>,,,,,Shalom Baranes Associates  ,"                February 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1000 Thomas Jefferson Street NW,  Washington, DC,  20007,  ",Planned,,38.902719,-77.060214
4110 Columbia Pike,Douglas Park,Condo,Planned,203  units,https://dc.urbanturf.com/pipeline/1249/4110_Columbia_Pike,,,                                  Condos                              </p>,203.0,                  TBD                </p>,,,,,KGD Architecture  ,"                February 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4110 Columbia Pike,  Arlington, VA,  22204,  ",Planned,,38.8586662,-77.1003447
Bond Bread Redevelopment,Pleasant Plains,Condo or Rental - TBD,Planned,469  units,https://dc.urbanturf.com/pipeline/1005/Bond_Bread_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,469.0,                  TBD                </p>,,,,https://www.bondbreadwreco.com/,STUDIOS Architecture  ,"                January 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2112-2146 Georgia Avenue NW,  Washington, DC,  20001,  ",Planned,,38.9179427,-77.0220002
Reverb Apartments,Shaw,Rental,"Delivered, Leasing Up",312  units,https://dc.urbanturf.com/pipeline/1004/Reverb_Apartments,,,                                  Rental apartments                              </p>,312.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://www.equityapartments.com/washington-dc/shaw/reverb-apartments,SK&amp;I Architecture  ,"                January 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2131 9th Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.9187465,-77.0236884
6711 Lee Highway Townhomes,East Falls Church,Townhomes,Planned,27  units,https://dc.urbanturf.com/pipeline/721/6711_Lee_Highway_Townhomes,,,                                  Townhomes                              </p>,27.0,                  Three- and four-story townhomes                </p>,,,,https://www.arlingtonva.us/Government/Projects/Project-Types/Site-Plan/6711-Lee-Highway,NVHomes  ,"                January 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  6711 Lee Highway,  Arlington, VA,  22205,  ",Planned,,38.8887955,-77.1602887
Seneca House,14th Street Corridor,Condo,Sold Out,10  units,https://dc.urbanturf.com/pipeline/1114/Seneca_House,,,                                  Condos                              </p>,10.0,"                  One-, one- and den, and two-bedroom condos                </p>",                  563-750 sq ft                </p>,,"                  From $499,000 to the high $600s                </p>",,,"                January 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1471 Florida Ave NW,  Washington, DC,  20009,  ",Sold Out,,38.919726,-77.0342177
Riggs Park Place,Fort Totten,Townhomes,Sold Out,185  units,https://dc.urbanturf.com/pipeline/818/Riggs_Park_Place,,,                                  Townhomes                              </p>,185.0,"                  Three-, four- and five-bedroom townhomes                </p>","                  1,220 - 2,100 square feet                </p>",,                  From the $700s                </p>,https://www.eya.com/townhomes/washington-dc/riggs-park-place-fort-totten-metro,Mushinsky Voelzke Associates  ,"                January 23rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  325 Riggs Road NE,  Washington, DC,  20011,  ",Sold Out,,38.957311,-77.0018443
2149 P St NW,Dupont Circle,Rental,Planned,66  units,https://dc.urbanturf.com/pipeline/191/2149_P_St_NW,,,                                  Rental apartments                              </p>,66.0,                  TBD                </p>,                  500 - 850 square feet                </p>,,,http://valordev.com/portfolio_page/2149-p-st-nw/,PGN Architects  ,"                January 23rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2149 P Street NW,  Washington, DC,  20001,  ",Planned,                    TBD                  </p>,38.909824,-77.0482514
Westmont,Columbia Pike Corridor,Rental,"Delivered, Leasing Up",250  units,https://dc.urbanturf.com/pipeline/968/Westmont,,,                                  Rental apartments                              </p>,250.0,                  One- and two-bedroom apartments                </p>,,,"                  $2,299 - $3,856                </p>",https://www.westmontapartments.com/,Lessard Design  ,"                January 17th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  925 S Glebe Road,  Arlington, VA,  22204,  ","Delivered, Leasing Up",,38.8623064,-77.0918957
Howard Parking Lot Residences,Pleasant Plains,Rental,Planned,440  units,https://dc.urbanturf.com/pipeline/1243/Howard_Parking_Lot_Residences,,,                                  Rental apartments                              </p>,440.0,                  TBD                </p>,,,,,,"                January 17th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2200 block of Georgia Avenue,  Washington, DC,  20001,  ",Planned,,,
The Oliver,Pleasant Plains,Rental,"Delivered, Leasing Up",93  units,https://dc.urbanturf.com/pipeline/1001/The_Oliver,,,                                  Rental apartments                              </p>,93.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>",,,,https://theoliverdc.com/,GTM-DC Architects  ,"                January 17th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2711 Georgia Ave NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.9253316,-77.0225794
The Terraces at Arlington View West,Columbia Pike Corridor,Rental,Planned,78  units,https://dc.urbanturf.com/pipeline/965/The_Terraces_at_Arlington_View_West,,,                                  Rental apartments                              </p>,78.0,"                  One-, two- and three-bedroom apartments                </p>",,,,https://www.ahcinc.org/post/the-terraces-at-arlington-view-west-in-development,Cunningham | Quill Architects and Walter L. Phillips  ,"                January 10th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1429 South Rolfe Street,  Arlington, VA,  22204,  ",Planned,,38.8603864,-77.0742675
4909 Auburn,North Bethesda,Rental,"Delivered, Leasing Up",167  units,https://dc.urbanturf.com/pipeline/1238/4909_Auburn,,,                                  Rental apartments                              </p>,167.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>",,,"                  $2,000 - $6,600                </p>",https://4909auburn.com/,BCT Design Group  ,"                December 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  4909 Auburn Avenue,  Bethesda, MD, MD,  20814,  ","Delivered, Leasing Up",                    December 2024                  </p>,38.9901504,-77.099857
501 H Street NE,H Street Corridor,Rental,"Delivered, Leasing Up",28  units,https://dc.urbanturf.com/pipeline/342/501_H_Street_NE,,,                                  Rental apartments                              </p>,28.0,"                  Studio, one-, and two-bedroom apartments                </p>","                  575 - 1,123 square feet                </p>",,,https://501hstreetapts.com/,Antunovich Associates  ,"                December 17th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  501 H Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9000537,-76.9992951
Crosby,Mount Vernon Square,Rental,"Delivered, Leasing Up",187  units,https://dc.urbanturf.com/pipeline/1078/Crosby,,,                                  Rental apartments                              </p>,187.0,"                  Studio, one-bedroom, two-bedroom and two-bedroom and den condos                </p>",,,,https://www.livecrosby.com/,Maurice Walters Architects  ,"                December 13th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  300 K Street NW,  Washington, DC,  20024,  ","Delivered, Leasing Up",,,
